time,open,high,low,close,tick_volume,spread,real_volume
2026-08-04 10:30:00,4049.246,4054.028,4046.534,4052.582,2310,240,0
2026-08-04 10:45:00,4052.633,4060.73,4052.353,4053.912,5422,240,0
2026-08-04 11:00:00,4053.963,4058.835,4052.339,4056.602,2858,240,0
2026-08-04 11:15:00,4056.603,4061.025,4055.346,4060.694,2050,240,0
2026-08-04 11:30:00,4060.745,4070.419,4059.729,4069.467,4102,240,0
2026-08-04 11:45:00,4069.504,4084.33,4066.983,4074.91,8104,240,0
2026-08-04 12:00:00,4074.978,4076.053,4060.834,4062.162,5141,240,0
2026-08-04 12:15:00,4062.214,4070.242,4061.028,4067.987,3569,240,0
2026-08-04 12:30:00,4068.03,4084.49,4068.03,4078.058,4702,240,0
2026-08-04 12:45:00,4078.111,4079.257,4069.497,4070.716,3744,240,0
2026-08-04 13:00:00,4070.851,4071.788,4060.997,4063.98,5237,240,0
2026-08-04 13:15:00,4063.866,4091.452,4062.175,4078.588,8650,240,0
2026-08-04 13:30:00,4078.395,4091.792,4075.941,4083.404,8667,240,0
2026-08-04 13:45:00,4083.466,4094.016,4081.554,4084.043,6150,240,0
2026-08-04 14:00:00,4084.289,4091.541,4083.185,4090.037,4387,240,0
2026-08-04 14:15:00,4089.981,4091.917,4080.71,4083.74,4857,240,0
2026-08-04 14:30:00,4083.977,4086.705,4074.189,4080.071,6343,240,0
2026-08-04 14:45:00,4079.981,4084.742,4077.691,4083.453,3718,240,0
2026-08-04 15:00:00,4083.692,4085.626,4079.484,4084.142,3117,240,0
2026-08-04 15:15:00,4084.074,4084.436,4074.667,4078.262,3807,240,0
2026-08-04 15:30:00,4078.373,4087.429,4076.679,4084.027,4556,240,0
2026-08-04 15:45:00,4083.979,4088.883,4082.659,4087.372,3018,240,0
2026-08-04 16:00:00,4087.492,4088.338,4084.269,4085.113,2733,240,0
2026-08-04 16:15:00,4085.027,4089.839,4082.922,4087.74,2088,240,0
2026-08-04 16:30:00,4087.434,4089.493,4084.817,4089.257,1969,240,0
2026-08-04 16:45:00,4089.051,4093.66,4088.556,4093.114,2047,240,0
2026-08-04 17:00:00,4093.381,4106.485,4092.286,4099.912,3857,240,0
2026-08-04 17:15:00,4099.967,4101.397,4094.123,4094.789,2875,240,0
2026-08-04 17:30:00,4094.729,4096.168,4091.612,4095.338,2008,240,0
2026-08-04 17:45:00,4095.228,4096.571,4086.123,4086.146,2203,240,0
2026-08-04 18:00:00,4086.091,4088.979,4084.685,4088.512,2416,240,0
2026-08-04 18:15:00,4088.71,4088.946,4084.341,4084.57,1909,240,0
2026-08-04 18:30:00,4084.714,4085.758,4076.129,4076.7,2194,240,0
2026-08-04 18:45:00,4076.72,4081.225,4075.032,4079.986,1959,240,0
2026-08-04 19:00:00,4079.678,4084.309,4078.608,4081.53,1889,240,0
2026-08-04 19:15:00,4081.817,4084.709,4079.241,4080.148,1782,240,0
2026-08-04 19:30:00,4080.068,4082.593,4078.764,4081.255,1483,240,0
2026-08-04 19:45:00,4081.196,4082.317,4076.377,4078.709,1715,240,0
2026-08-04 20:00:00,4078.597,4080.45,4078.182,4079.122,1414,240,0
2026-08-04 20:15:00,4078.81,4079.009,4074.514,4075.498,1579,240,0
2026-08-04 20:30:00,4075.445,4078.518,4075.328,4077.631,1147,240,0
2026-08-04 20:45:00,4077.698,4078.291,4075.928,4078.007,1005,240,0
2026-08-04 22:00:00,4078.012,4078.725,4076.35,4076.86,728,240,0
2026-08-04 22:15:00,4076.804,4079.967,4075.754,4079.648,1179,240,0
2026-08-04 22:30:00,4079.873,4085.734,4079.111,4083.905,1217,240,0
2026-08-04 22:45:00,4083.959,4084.548,4075.608,4075.801,1510,240,0
2026-08-04 23:00:00,4075.947,4077.175,4068.404,4073.3,2202,240,0
2026-08-04 23:15:00,4073.206,4074.74,4065.404,4067.292,1549,240,0
2026-08-04 23:30:00,4067.292,4070.074,4065.835,4069.369,1191,240,0
2026-08-04 23:45:00,4069.341,4073.725,4069.091,4072.308,1164,240,0
2026-08-05 00:00:00,4072.356,4074.238,4070.293,4071.876,2229,240,0
2026-08-05 00:15:00,4071.849,4078.839,4071.337,4078.548,1996,240,0
2026-08-05 00:30:00,4078.507,4082.958,4077.894,4078.158,1828,240,0
2026-08-05 00:45:00,4078.149,4083.512,4077.622,4082.622,1831,240,0
2026-08-05 01:00:00,4082.43,4086.85,4077.53,4085.754,4874,240,0
2026-08-05 01:15:00,4085.807,4088.824,4082.631,4084.522,3284,240,0
2026-08-05 01:30:00,4084.473,4092.989,4080.087,4092.939,3257,240,0
2026-08-05 01:45:00,4092.889,4102.711,4092.607,4101.218,2875,240,0
2026-08-05 02:00:00,4101.168,4102.928,4096.357,4099.65,3125,240,0
2026-08-05 02:15:00,4099.709,4108.704,4095.427,4103.67,3455,240,0
2026-08-05 02:30:00,4103.729,4129.044,4101.416,4128.012,7500,240,0
2026-08-05 02:45:00,4128.064,4135.518,4124.527,4129.3,6044,240,0
2026-08-05 03:00:00,4129.25,4136.231,4126.816,4135.695,3884,240,0
2026-08-05 03:15:00,4135.751,4136.519,4129.699,4130.576,2549,240,0
2026-08-05 03:30:00,4130.524,4130.762,4127.403,4128.489,2068,240,0
2026-08-05 03:45:00,4128.539,4130.419,4127.361,4128.383,1503,240,0
2026-08-05 04:00:00,4128.39,4141.506,4128.287,4138.664,2829,240,0
2026-08-05 04:15:00,4138.548,4141.21,4137.64,4138.506,1927,240,0
2026-08-05 04:30:00,4138.428,4138.923,4133.214,4134.691,1691,240,0
2026-08-05 04:45:00,4134.681,4136.166,4132.245,4135.603,1606,240,0
2026-08-05 05:00:00,4135.665,4138.006,4134.599,4137.156,1997,240,0
2026-08-05 05:15:00,4137.166,4142.261,4135.594,4139.35,2119,240,0
2026-08-05 05:30:00,4139.536,4159.682,4139.536,4157.066,7705,240,0
2026-08-05 05:45:00,4157.164,4173.162,4156.664,4161.535,8991,240,0
2026-08-05 06:00:00,4161.475,4174.449,4159.987,4172.946,4650,240,0
2026-08-05 06:15:00,4172.93,4173.427,4160.887,4168.604,4275,240,0
2026-08-05 06:30:00,4168.73,4178.381,4166.921,4175.557,3595,240,0
2026-08-05 06:45:00,4175.87,4178.469,4171.985,4177.367,2821,240,0
2026-08-05 07:00:00,4177.458,4179.626,4166.107,4166.344,3628,240,0
2026-08-05 07:15:00,4166.398,4169.365,4162.921,4164.353,3369,240,0
2026-08-05 07:30:00,4164.465,4166.698,4162.149,4166.511,2891,240,0
2026-08-05 07:45:00,4166.761,4172.05,4164.183,4170.626,2351,240,0
2026-08-05 08:00:00,4170.574,4172.706,4164.725,4165.603,2751,240,0
2026-08-05 08:15:00,4165.655,4168.221,4162.053,4164.547,2480,240,0
2026-08-05 08:30:00,4164.61,4167.269,4161.165,4166.054,3755,240,0
2026-08-05 08:45:00,4166.174,4166.393,4158.862,4160.35,3080,240,0
2026-08-05 09:00:00,4160.407,4167.142,4160.407,4163.026,3277,240,0
2026-08-05 09:15:00,4163.002,4163.07,4155.021,4157.61,2817,240,0
2026-08-05 09:30:00,4157.686,4159.108,4154.24,4158.017,3694,240,0
2026-08-05 09:45:00,4157.956,4159.158,4152.93,4157.909,2144,240,0
2026-08-05 10:00:00,4157.97,4158.0,4150.378,4151.197,2134,240,0
2026-08-05 10:15:00,4151.266,4158.581,4150.249,4156.79,2191,240,0
2026-08-05 10:30:00,4156.594,4157.861,4153.715,4155.039,1769,240,0
2026-08-05 10:45:00,4155.035,4161.611,4153.991,4161.278,2001,240,0
2026-08-05 11:00:00,4161.219,4171.031,4160.653,4170.702,2770,240,0
2026-08-05 11:15:00,4170.71,4180.717,4169.232,4176.216,3104,240,0
2026-08-05 11:30:00,4176.074,4188.711,4174.001,4184.854,5626,240,0
2026-08-05 11:45:00,4184.966,4192.729,4182.812,4188.955,4111,240,0
2026-08-05 12:00:00,4189.012,4200.079,4188.742,4197.381,4320,240,0
2026-08-05 12:15:00,4197.566,4208.821,4197.566,4204.639,1186,240,0
