time,open,high,low,close,tick_volume,spread,real_volume
2026-08-05 04:00:00,4128.39,4136.075,4128.287,4134.777,909,240,0
2026-08-05 04:05:00,4134.82,4140.155,4133.803,4139.27,987,240,0
2026-08-05 04:10:00,4139.321,4141.506,4137.68,4138.664,933,240,0
2026-08-05 04:15:00,4138.548,4140.983,4137.64,4140.693,721,240,0
2026-08-05 04:20:00,4140.764,4141.21,4138.314,4138.838,603,240,0
2026-08-05 04:25:00,4138.899,4140.1,4137.898,4138.506,603,240,0
2026-08-05 04:30:00,4138.428,4138.923,4136.928,4137.324,516,240,0
2026-08-05 04:35:00,4137.323,4137.673,4133.214,4134.771,678,240,0
2026-08-05 04:40:00,4134.832,4136.287,4134.228,4134.691,497,240,0
2026-08-05 04:45:00,4134.681,4135.613,4132.245,4132.867,566,240,0
2026-08-05 04:50:00,4132.836,4135.442,4132.627,4134.754,498,240,0
2026-08-05 04:55:00,4134.7,4136.166,4133.727,4135.603,542,240,0
2026-08-05 05:00:00,4135.665,4137.168,4134.599,4136.554,686,240,0
2026-08-05 05:05:00,4136.59,4137.986,4135.59,4135.943,804,240,0
2026-08-05 05:10:00,4136.054,4138.006,4135.563,4137.156,507,240,0
2026-08-05 05:15:00,4137.166,4138.272,4135.594,4137.386,611,240,0
2026-08-05 05:20:00,4137.184,4142.261,4137.074,4141.227,787,240,0
2026-08-05 05:25:00,4141.207,4141.468,4138.103,4139.35,721,240,0
2026-08-05 05:30:00,4139.536,4146.566,4139.536,4143.489,2017,240,0
2026-08-05 05:35:00,4143.379,4154.346,4142.508,4151.844,2965,240,0
2026-08-05 05:40:00,4151.73,4159.682,4149.358,4157.066,2723,240,0
2026-08-05 05:45:00,4157.164,4171.652,4156.664,4164.712,4090,240,0
2026-08-05 05:50:00,4164.812,4173.162,4164.69,4167.133,2058,240,0
2026-08-05 05:55:00,4166.868,4171.664,4161.461,4161.535,2843,240,0
2026-08-05 06:00:00,4161.475,4166.379,4159.987,4162.259,1904,240,0
2026-08-05 06:05:00,4162.136,4170.17,4160.619,4170.17,1226,240,0
2026-08-05 06:10:00,4169.86,4174.449,4168.731,4172.946,1520,240,0
2026-08-05 06:15:00,4172.93,4173.427,4165.849,4166.371,1501,240,0
2026-08-05 06:20:00,4166.318,4167.864,4160.887,4166.013,1520,240,0
2026-08-05 06:25:00,4166.025,4169.103,4163.644,4168.604,1254,240,0
2026-08-05 06:30:00,4168.73,4173.871,4166.921,4172.905,1096,240,0
2026-08-05 06:35:00,4172.985,4178.381,4172.985,4175.453,1279,240,0
2026-08-05 06:40:00,4175.56,4176.914,4172.653,4175.557,1220,240,0
2026-08-05 06:45:00,4175.87,4176.586,4171.985,4175.821,827,240,0
2026-08-05 06:50:00,4175.748,4176.621,4173.002,4175.407,940,240,0
2026-08-05 06:55:00,4175.428,4178.469,4175.094,4177.367,1054,240,0
2026-08-05 07:00:00,4177.458,4179.626,4170.325,4170.776,1514,240,0
2026-08-05 07:05:00,4170.702,4172.634,4168.702,4170.09,1057,240,0
2026-08-05 07:10:00,4170.14,4171.933,4166.107,4166.344,1057,240,0
2026-08-05 07:15:00,4166.398,4169.265,4165.909,4169.039,1208,240,0
2026-08-05 07:20:00,4168.987,4169.365,4166.415,4168.203,1188,240,0
